Date:- 10/1/2011 2:59:06 PM Extract Name:- RBI Category Master
RBIINDID|||RBIINDNAME~~~
950|||RECREATION SERVICES (MOTION PICTURE STUDIOS, THEATRES, CIRCUS COMPANIES, SPORTS CLUBS, GYMNASIA, ETC)-- INCLUDE(I) MOTION PICTURE PROJECTION AND DISTRIBUTION(II) ENTERTAINMENT SERVICES & OPERATION OF CIRCUSES AND RACE TRACKS(III) RADIO AND TELEVISION -- B~~~
37001|||RECYCLING OF METAL WASTE AND SCRAP )~~~
880|||REGIONAL RURAL BANKS~~~
65102|||REGIONAL RURAL BANKS)~~~
71201|||RENTING OF CONSTRUCTION AND CIVIL  ENGINEERING MACHINERY AND EQUIPMENT. RENTING OF OFFICE MACHINERY~~~
71101|||RENTING OF LAND, WATER AND AIR TRANSPORT EQUIPMENT )~~~
71301|||RENTING OF PERSONAL AND HOUSEHOLD GOODS N.E.C. [ INCLUDES RENTING OF ALL KINDS OF PERSONAL AND HOUSE~~~
970|||REPAIRS AND SERVICING WORKS WORKSHOPS AND OTHER TYPES OF REPAIR WORKS SUCH AS REPAIRS OF ELECTRICAL AND DIESEL MACHINERY, EQUIPMENT'S AND APPARATUS, MOTOR VEHICLES, WATCHES, CLOCKS, BICYCLES, CYCLE-RICKSHAWS, MOTOR VEHICLES, WATCHES, CLOCKS, BICYCLES, CYC~~~
52601|||REPAIRS OF PERSONAL AND HOUSEHOLD GOODS: INCLUDES REPAIR OF FOOTWEAR AND LEATHER GOODS, HOUSEHOLD EL~~~
22301|||REPRODUCTION OF RECORDED MEDIA)~~~
73001|||RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING.)~~~
55201|||RESTAURANTS, BARS AND CANTEENS; CATERERS-INCLUDING DOOR TO DOOR SERVICES; [SALES  THROUGH VENDING MA~~~
52313|||RETAIL SALE IN SPECIALISED STORES OF PHARMACEUTICAL AND MEDICAL GOODS, COSMETIC  AND TOILET ARTICLES~~~
52201|||RETAIL SALE IN SPECIALIZED STORES OF FOOD, BEVERAGES AND TOBACCO )~~~
52303|||RETAIL SALE OF AGRICULTURAL IMPLEMENTS AND MACHINERY)~~~
50005|||RETAIL SALE OF AUTOMOTIVE FUEL  [ INCLUDES THE ACTIVITY OF  PETROL FILLING STATIONS. THIS ACTIVITY I~~~
52312|||RETAIL SALE OF CONSTRUCTION MATERIALS, HARDWARE, PAINTS AND GLASS )~~~
52311|||RETAIL SALE OF DIAMONDS, GEMS & JEWELRY)~~~
52301|||RETAIL SALE OF FERTILIZERS AND PESTICIDES)~~~
52401|||RETAIL SALE OF SECOND HAND GOODS IN STORES(INCLUDING THE PAWN SHOPS))~~~
52302|||RETAIL SALE OF SEEDS)~~~
52501|||RETAIL TRADE NOT IN STORES E.G. VIA MAIL ORDER HOUSES [INCLUDES THE ACTIVITY OF  RETAIL SELLING THRO~~~
211|||RICE MILLS, FLOUR AND DAL MILLS -- INCLUDING HUSKING OF PADDY, FLOUR CHAKKIES~~~
45013|||ROADS & PORTS - INCLUDES CONSTRUCTION AND MAINTENANCE OF ROADS, RAIL-BEDS, BRIDGES, TUNNELS, PIPELIN~~~
25|||RUBBER - CULTIVATION~~~
26|||RUBBER - ESTATE~~~
50001|||SALE OF ALL KINDS OF MOTOR VEHICLES [INCLUDES WHOLESALE AND RETAIL SALE OF NEW AND USED PASSENGER MO~~~
50002|||SALE OF ALL KINDS OF PARTS AND ACCESSORIES OF MOTOR VEHICLES, TWO- AND THREE-WHEELERS.  [ INCLUDES W~~~
65923|||SAVING & LOAN COMPANIES)~~~
20101|||SAW MILLING AND PLANKING OF WOOD (OTHER THAN PLYWOOD); MANUFACTURE OF UNASSEMBLED WOOD FLOORING, INC~~~
62001|||SCHEDULED AIR TRANSPORT)~~~
60201|||SCHEDULED PASSENGER LAND TRANSPORT [INCLUDES ACTIVITIES PROVIDING REGULAR URBAN, SUBURBAN OR INTER U~~~
67102|||SECURITIES TRADING COMPANIES/BROKING FIRMS)~~~
51205|||SEEDS (INCLUDING COTTON AND OIL SEEDS), AGRICULTURAL RAW MATERIAL & LIVE ANIMALS)~~~
11201|||SERVICE ACTIVITIES INCIDENTAL TO OIL AND GAS EXTRACTION EXCLUDING SURVEYING)~~~
91901|||SERVICES RENDERED BY RELIGIOUS, POLITICAL AND OTHER MEMBERSHIP ORGANIZATIONS)~~~
93002|||SERVICES SUCH AS DOMESTIC, LAUNDRIES, SALOONS, BEAUTY PARLOURS, POTRAIT AND COMMERCIAL PHOTOGRAPHIC~~~
910|||SETTING UP OF INDUSTRIAL ESTATES~~~
90001|||SEWAGE AND REFUSE DISPOSAL, SANITATION AND SIMILAR ACTIVITIES)~~~
891|||SHARE BROKERS/SECURITIES TRADING COMPANIES~~~
860|||SHROFFS AND OTHER INDIGENOUS BANKERS (INCLUDE PAWN BROKERS, PRIVATE MONEY LENDERS)~~~
65933|||SHROFFS AND OTHER INDIGENOUS BANKERS (INCLUDE PAWN BROKERS, PRIVATE MONEY LENDERS))~~~
17103|||SILK & SYNTHETIC TEXTILE: PREPARATION AND SPINNING OF SILK AND SYNTHETIC(MAN-MADE) FIBRES (RAYON, NY~~~
234|||SILK AND SYNTHETIC FIBER'S AND TEXTILES (RAYON, NYLON, TERENE, ARTSILK, ETC) INCLUDING MIXED FIBER'S -- PROCESSING, SPINNING, WEAVING, DYEING, FINISHING, PRINTING, ETC~~~
204|||SLAUGHTERING, PREPARATION AND PRESERVATION OF MEAT~~~
85301|||SOCIAL WORK- COMMUNITY AND WELFARE SERVICES ORGANISED BY INDIVIDUALS OR ORGANISATIONS INCLUDING NGOS~~~
72201|||SOFTWARE CONSULTANCY AND SUPPLY .[INCLUDES ACTIVITIES IN CONNECTION WITH ANALYSIS, DESIGN AND PROGRA~~~
72209|||SOFTWARE CONSULTANCY AND SUPPLY [INCLUDES ACTIVITIES IN CONNECTION WITH ANALYSIS, DESIGN AND PROGRA~~~
931|||SOFTWARE DEVELOPMENT SERVICES~~~
01153|||SOIL/LAND/FARM DEVELOPMENT ACTIVITIES SUCH AS LEVELLING, BUNDING AND RECLAMATION OF LAND, DIGGING, R~~~
452|||SOLAR ENERGY, WIND MILLS, ETC~~~
45002|||SPECIALISED CONSTRUCTION [INCLUDES CONSTRUCTION AND MAINTENANCE OF SPORTS STADIA AND OTHER CONSTRUCT~~~
92401|||SPORTING AND OTHER  RECREATIONAL  ACTIVITIES)~~~
393|||SPORTS AND ATHLETIC GOODS~~~
994|||STAFF HOUSING LOANS (EXCLUDING, LOANS TO STAFF UNDER NHB SCHEME)~~~
94001|||STAFF HOUSING LOANS (EXCLUDING, LOANS TO STAFF UNDER NHB SCHEME) INCLUDING THE LOANS TO CO-OPERATIVE~~~
15302|||STARCH AND STARCH PRODUCTS: MANUFACTURE OF STARCHES AND STARCH PRODUCT [ INCLUDES SAGO AND SAGO PROD~~~
714|||STATE ROAD TRANSPORT CORPORATIONS AND TRAMWAY COMPANIES~~~
850|||STATE-SPONSORED FINANCIAL INSTITUTIONS (EG IDBI, EXIM BANK, IFCI, ICICI, UTI, NHB, DFMI, SFCS, ETC)~~~
394|||STATIONERY ARTICLES LIKE FOUNTAIN PENS, PENCILS, BALL POINT PENS PIN CUSHIONS, TAGS, ETC~~~
40301|||STEAM  AND HOT WATER SUPPLY)~~~
01156|||STORAGE AND MARKETING OF AGRICULTURE PRODUCE- INCLUDING LOANS FOR CONSTRUCTION AND RUNNING OF STORAG~~~
213|||SUGAR FACTORIES (MANUFACTURE AND REFINING) AND SUGAR PRODUCTS~~~
12|||SUGARCANE OR SUGARBEET~~~
63012|||SUPPORTING SERVICES INCIDENTAL TO WATER TRANSPORT SUCH AS OPERATION AND MAINTENANCE OF  PIERS, DOCKS~~~
63013|||SUPPORTING SERVICES TO AIR TRANSPORT SUCH AS OPERATION AND MAINTENANCE OF TERMINALS, FLYING FACILITI~~~
63011|||SUPPORTING SERVICES TO LAND TRANSPORT SUCH AS OPERATION OF  RAILWAY STATIONS, BUS STATIONS, HIGHWAY~~~
19101|||TANNING, CURING, FINISHING, EMBOSSING, JAPANNING AND DRESSING OF LEATHER: INCLUDES FLAYING AND CURIN~~~
712|||TAXIS, AUTO-RICKSHAWS AND SCOOTERS~~~
21|||TEA (TEA ESTATES/GARDENS HAVING CULTIVATION ACTIVITY ONLY AND WHICH DO NOT HAVE THEIR OWN PROCESSING UNITS) - CULTIVATION~~~
22|||TEA (TEA ESTATES/GARDENS HAVING CULTIVATION ACTIVITY ONLY AND WHICH DO NOT HAVE THEIR OWN PROCESSING UNITS) - ESTATE~~~
217|||TEA PROCESSING -- LOANS GIVEN TO(I) TEA GARDENS/ESTATES HAVING CULTIVATION ACTIVITY AND THEIR OWN PROCESSING AND BLENDING (INCLUDING MANUFACTURE OF INSTANT TEA) UNITS AND(I) PROCESSING AND BLENDING (INCLUDING MANUFACTURE OF INSTANT TEA)UNITS WHICH DO NOT~~~
15406|||TEA PROCESSING AND BLENDING(INCLUDING MANUFACTURING OF INSTANT TEA) UNITS WHICH DO NOT HAVE THEIR OW~~~
80003|||TECHNICAL AND VOCATIONAL  EDUCATION)~~~
920|||TELECOM PROJECTS INCLUDING CELLULAR SERVICES~~~
64201|||TELECOMMUNICATION SERVICES: INCLUDES THE ACTIVITIES OF STD/ISD BOOTHS, PROVISION OF VALUE ADDED TELE~~~
45012|||TELECOMMUNICATIONS -  CONSTRUCTION/ERECTION AND MAINTENANCE OF TELECOMMUNICATION AND TRANSMISSION LI~~~
51303|||TEXTILES, CLOTHING AND FOOTWEAR AND OTHER HOUSEHOLD GOODS LIKE TOILETRY, PERFUMERY, COSMETICS, METAL~~~
51203|||TOBACCO & TOBACCO PRODUCTS.) TOBACCO & TOBACCO PRODUCTS.) ~~~
16|||TOBACCO - CULTIVATION~~~
601|||TOBACCO - WHOLESALE TRADE~~~
16001|||TOBACCO PROCESSING [ INCLUDES STEMMING, REDRYING ETC. OF TOBACCO LEAVES])~~~
222|||TOBACCO PROCESSING AND MANUFACTURING INCLUDING BIDI, CIGAR, CHEROOTS AND CIGARETTE MAKING, MANUFACTURE OF CHEWING TOBACCO,ZARDA,SNUFF AND OTHER TOBACCO PRODUCTS~~~
372|||TRAMWAY WORKS: PARTS AND ACCESSORIES, TRAILERS, FORK LIFTS AND OTHER MATERIAL HANDLING LIGHT EQUIPMENT'S AND PARTS, ETC~~~
60301|||TRANSPORT VIA PIPELINES [INCLUDES TRANSPORT  VIA PIPELINES AND THE INCIDENTAL  ACTIVITIES LIKE OPERA~~~
60101|||TRANSPORT VIA RAILWAYS [INCLUDES PASSENGER AND FREIGHT TRANSPORT BY  INTER-URBAN RAILWAYS. ALSO COVE~~~
385|||TURPENTINE, SYNTHETIC RESINS, ADHESIVES, ETC~~~
85201|||VETERINARY ACTIVITIES  (CLINICO-PATHOLOGICAL AND OTHER DIAGNOSTIC ACTIVITIES PERTAINING TO ANIMALS &~~~
911|||WAREHOUSING~~~
63001|||WAREHOUSING)~~~
440|||WATER SUPPLY IE COLLECTION, PURIFICATION AND DISTRIBUTION OF WATER~~~
51406|||WHOLESALE OF CONSTRUCTION MATERIALS, HARDWARE, PLUMBING AND HEATING EQUIPMENT AND SUPPLIES)~~~
51405|||WHOLESALE OF METALS AND METAL ORES)~~~
51409|||WHOLESALE OF OTHER INTERMEDIATE PRODUCTS, WASTE AND SCRAP [INCLUDES BASIC INDUSTRIAL CHEMICALS, PLAS~~~
51404|||WHOLESALE OF SOLID, LIQUID AND GASEOUS FUELS AND RELATED PRODUCTS.)~~~
51101|||WHOLESALE ON A FEE OR CONTRACT BASIS. [INCLUDES COMMISSION AGENTS, COMMODITY BROKERS AND AUCTIONEERS~~~
391|||WOOD AND WOOD PRODUCTS, FURNITURE AND FIXTURES INCLUDING PLYWOOD, VENEER AND THEIR PRODUCTS LIKE BOXES, CRATES, DRUMS, BARRELS, BASKETS, ETC SAWING AND PLANKING OF WOOD, INDUSTRIAL AND CONSTRUCTION GOODS LIKE BEAMS, DOORS AND WINDOWS, ETC AND CORK PRODUCT~~~
235|||WOOLEN AND WOOLEN BLENDED TEXTILES INCLUDING CLEANING, BALING AND PROCESSING, SPINNING, WEAVING, DYEING AND FINISHING IN MILLS AND POWERLOOMS~~~
17104|||WOOLEN TEXTILE: PREPARATION(CLEANING, BAILING, AND PROCESSING) AND SPINNING OF WOOL, INCLUDING OTHER~~~
Total Row Count =523
