Date:- 10/1/2011 2:59:06 PM Extract Name:- RBI Category Industry Linkage
RBIINDID|||RBIINDNAME|||Indtypeid~~~
65931|||AGRICULTURAL FINANCE CORPORATIONS)|||672~~~
65932|||MUTUAL FUNDS INCLUDING UNIT TRUST OF INDIA)|||672~~~
65933|||SHROFFS AND OTHER INDIGENOUS BANKERS (INCLUDE PAWN BROKERS, PRIVATE MONEY LENDERS))|||672~~~
65939|||OTHER FINANCIAL INTERMEDIATION N.E.C. )|||672~~~
66001|||LIFE INSURANCE [THIS CLASS INCLUDES LIFE INSURANCE (INCLUDING REINSURANCE) AND OTHER LONG-TERM INSUR|||672~~~
66002|||NON-LIFE INSURANCE)|||672~~~
66003|||PENSION FUNDING [THIS CLASS INCLUDES THE PROVISION OF RETIREMENT INCOMES, INCLUDING ACTIVITIES INVOL|||672~~~
67101|||AGRO-INDUSTRIES CORPORATIONS)|||672~~~
67102|||SECURITIES TRADING COMPANIES/BROKING FIRMS)|||672~~~
67103|||INDUSTRIAL DEVELOPMENT BOARDS/CORPORATIONS/FEDERATIONS INCLUDING ALL STATE DEVELOPMENT BOARDS AND|||672~~~
67104|||MERCHANT BANKING/FINANCIAL SERVICES COMPANIES)|||672~~~
67105|||LOANS FOR ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION EXCEPT INSURANCE AND PENSION FUNDING[LIKE|||672~~~
67201|||LOANS FOR ACTIVITIES AUXILIARY TO INSURANCE AND PENSION FUNDING [LIKE INSURANCE AGENTS, AVERAGE AND|||672~~~
70001|||REAL ESTATE ACTIVITIES INCLUDING LEASING OF REAL PROPERTY (CONSTRUCTION IS CLASSIFIED IN DIVISION 45|||749~~~
711|||CYCLE-RICKSHAWS, HAND AND ANIMAL DRAWN CARTS -- INCLUDE(I) TRANSPORT BY ANIMALS LIKE HORSES, ELEPHANTS, MULES, CAMELS, ETC(II) RICKSHAW PULLERS, HAND CART PULLERS, PORTERS, COOLIES, ETC(III) BULLOCK-CARTS, EKKAS, TONGAS, ETC|||7.0~~~
71101|||RENTING OF LAND, WATER AND AIR TRANSPORT EQUIPMENT )|||749~~~
712|||TAXIS, AUTO-RICKSHAWS AND SCOOTERS|||7.0~~~
71201|||RENTING OF CONSTRUCTION AND CIVIL  ENGINEERING MACHINERY AND EQUIPMENT. RENTING OF OFFICE MACHINERY|||749~~~
713|||OTHER LAND TRANSPORT OPERATORS INCLUDING PRIVATE TRANSPORT COMPANIES AND OTHER TRANSPORT OPERATORS' ASSOCIATIONS (TRUCKS, BUSES INCLUDING TEMPOS)|||7.0~~~
71301|||RENTING OF PERSONAL AND HOUSEHOLD GOODS N.E.C. [ INCLUDES RENTING OF ALL KINDS OF PERSONAL AND HOUSE|||749~~~
714|||STATE ROAD TRANSPORT CORPORATIONS AND TRAMWAY COMPANIES|||7.0~~~
715|||RAILWAY TRANSPORT|||7.0~~~
721|||OCEAN AND COASTAL WATER TRANSPORT|||7.0~~~
72101|||HARDWARE CONSULTANCY.[THIS CLASS INCLUDES CONSULTANCY ON TYPE AND CONFIGURATION OF HARDWARE WITH OR|||749~~~
722|||INLAND WATER TRANSPORT INCLUDING SUPPORT SERVICES|||7.0~~~
72201|||SOFTWARE CONSULTANCY AND SUPPLY .[INCLUDES ACTIVITIES IN CONNECTION WITH ANALYSIS, DESIGN AND PROGRA|||749~~~
72209|||SOFTWARE CONSULTANCY AND SUPPLY [INCLUDES ACTIVITIES IN CONNECTION WITH ANALYSIS, DESIGN AND PROGRA|||10.0~~~
72301|||DATA PROCESSING AND DATABASE ACTIVITIES)|||749~~~
72501|||MAINTENANCE AND REPAIR OF OFFICE, ACCOUNTING AND COMPUTING MACHINERY)|||749~~~
72901|||IT PLACEMENT SERVICES)|||749~~~
72909|||OTHER COMPUTER RELATED ACTIVITIES [FOR EXAMPLE ACTIVITIES OF DEVELOPMENT OF MULTIMEDIA PRESENTATION|||749~~~
730|||AIR TRANSPORT INCLUDING SUPPORT SERVICES LIKE RADAR STATION, RADIO BEACONS, ETC|||7.0~~~
73001|||RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGINEERING.)|||749~~~
74101|||PROFESSIONAL SERVICES (EXCEPT MEDICAL) (MEDICAL SERVICES TO BE CODED AT 851.02  AND ENGINEERING/TECH|||749~~~
74201|||ARCHITECTURAL, ENGINEERING AND OTHER TECHNICAL ACTIVITIES.)|||749~~~
74301|||ADVERTISING AND PUBLICITY CONCERNS)|||749~~~
74401|||MERGER, ACQUISITION & RESTRUCTURING OF COMPANIES)|||749~~~
74901|||LABOUR RECRUITMENT AND PROVISION)|||749~~~
75001|||ACTIVITIES OF AGENCIES THAT PROVIDE HEALTHCARE, EDUCATION, CULTURAL SERVICES AND OTHER SOCIAL SERVIC|||750~~~
80001|||GENERAL  PRIMARY AND SECONDARY EDUCATION)|||800~~~
80002|||HIGHER EDUCATION )|||800~~~
80003|||TECHNICAL AND VOCATIONAL  EDUCATION)|||800~~~
81|||OTHER DIRECT FINANCE TO AGRICULTURE (DIRECT TO FARMERS)|||0.8~~~
810|||COMMERCIAL BANKS|||8.0~~~
82|||INDIRECT FINANCE TO AGRICULTURE (PROVIDED THROUGH INSTITUTIONAL AGENCIES)|||0.8~~~
820|||CO-OPERATIVE BANKS (INCLUDING NON-AGRICULTURAL CREDIT SOCIETIES)|||8.0~~~
831|||PRIMARY AGRICULTURAL CREDIT SOCIETIES|||8.0~~~
832|||FARMERS SERVICE SOCIETIES (FSS) AND LARGE SIZED ADIVASI RADIO BEACONS, ETC|||8.0~~~
833|||APEX CO-OPERATIVE HOUSING FINANCE SOCIETIES|||8.0~~~
834|||PRIMARY CO-OPERATIVE HOUSING SOCIETIES|||8.0~~~
835|||OTHER CO-OPERATIVE PROCESSING & MARKETING SOCIETIES FEDERATIONS|||8.0~~~
836|||LAND DEVELOPMENT BANKS-SLDBS AND PLDBS|||8.0~~~
840|||AGRICULTURAL FINANCE CORPORATIONS AND CONSULTANTS|||8.0~~~
850|||STATE-SPONSORED FINANCIAL INSTITUTIONS (EG IDBI, EXIM BANK, IFCI, ICICI, UTI, NHB, DFMI, SFCS, ETC)|||8.0~~~
85101|||HOSPITAL ACTIVITIES.[INCLUDES THE ACTIVITIES OF  GENERAL AND SPECIALIZED HOSPITALS, SANATORIA, ASYLU|||853~~~
85102|||MEDICAL AND DENTAL PRACTICE ACTIVITIES. [INCLUDES CONSULTATION AND TREATMENT ACTIVITIES OF GENERAL P|||853~~~
85201|||VETERINARY ACTIVITIES  (CLINICO-PATHOLOGICAL AND OTHER DIAGNOSTIC ACTIVITIES PERTAINING TO ANIMALS &|||853~~~
85301|||SOCIAL WORK- COMMUNITY AND WELFARE SERVICES ORGANISED BY INDIVIDUALS OR ORGANISATIONS INCLUDING NGOS|||853~~~
860|||SHROFFS AND OTHER INDIGENOUS BANKERS (INCLUDE PAWN BROKERS, PRIVATE MONEY LENDERS)|||8.0~~~
870|||HIRE PURCHASE AND FINANCE COMPANIES|||8.0~~~
880|||REGIONAL RURAL BANKS|||8.0~~~
891|||SHARE BROKERS/SECURITIES TRADING COMPANIES|||8.0~~~
892|||CHIT FUNDS/SAVINGS & LOAN COMPANIES|||8.0~~~
893|||NIDHIS/MUTUAL BENEFIT FUNDS|||8.0~~~
894|||INVESTMENT COMPANIES/FINANCE CORPORATIONS|||8.0~~~
895|||MERCHANT BANKING/FINANCIAL SERVICES COMPANIES|||8.0~~~
896|||LEASING COMPANIES|||8.0~~~
897|||HOUSING FINANCE COMPANIES/CORPORATIONS|||8.0~~~
898|||OTHERS INCLUDING INSURANCE CARRIERS|||8.0~~~
899|||INDUSTRIAL DEVELOPMENT BOARDS/CORPORATIONS/FEDERATIONS INCLUDING ALL STATE DEVELOPMENT BOARDS AND OTHER DEVELOPMENTAL INSTITUTIONS (EG TEA BOARDS, COFFEE BOARDS, KHADI DEVELOPMENT BOARD, ETC)|||8.0~~~
90001|||SEWAGE AND REFUSE DISPOSAL, SANITATION AND SIMILAR ACTIVITIES)|||999~~~
91|||DAIRYING|||0.9~~~
910|||SETTING UP OF INDUSTRIAL ESTATES|||9.0~~~
911|||WAREHOUSING|||9.0~~~
91101|||ACTIVITIES OF BUSINESS, EMPLOYERS AND PROFESSIONAL ORGANISATIONS [ INDUSTRY ASSOCIATIONS, CHAMBER OF|||999~~~
912|||HOUSING BOARDS, MUNICIPAL CORPORATIONS, MUNICIPALITIES, WATER DRAINAGE AND SEWERAGE BOARDS AND SUCH OTHER PUBLIC UTILITIES|||9.0~~~
913|||COLD STORAGE|||9.0~~~
91901|||SERVICES RENDERED BY RELIGIOUS, POLITICAL AND OTHER MEMBERSHIP ORGANIZATIONS)|||999~~~
92|||POULTRY FARMING|||0.9~~~
920|||TELECOM PROJECTS INCLUDING CELLULAR SERVICES|||9.0~~~
92101|||MOTION PICTURE AND VIDEO PRODUCTION AND DISTRIBUTION)|||999~~~
92109|||OTHER  ENTERTAINMENT ACTIVITIES LIKE)|||999~~~
92201|||NEWS AGENCY ACTIVITIES)|||999~~~
92301|||LIBRARY, ARCHIVES, MUSEUMS AND OTHER CULTURAL ACTIVITIES)|||999~~~
92401|||SPORTING AND OTHER  RECREATIONAL  ACTIVITIES)|||999~~~
93|||AQUACULTURE, FISHING (INCLUDING COLLECTION OF SEA PRODUCTS)|||0.9~~~
930|||PROFESSIONAL SERVICES -- DOCTORS, LAWYERS, ACCOUNTANTS, ENGINEERS, ARCHITECTS AND OTHER TECHNICALLY QUALIFIED PERSONS - IE PROFESSIONALS TAKING ADVANCE FOR PURSUIT OF THEIR OCCUPATION, PURCHASE OF TECHNICAL EQUIPMENT'S FOR PROFESSIONAL PURPOSES (LOANS TO|||9.0~~~
93001|||ARTISANS AND CRAFTSMEN (ADVANCES AVAILED FOR PURSUING SELF-EMPLOYED ACTIVITIES BY CARPENTERS, MASONS|||999~~~
93002|||SERVICES SUCH AS DOMESTIC, LAUNDRIES, SALOONS, BEAUTY PARLOURS, POTRAIT AND COMMERCIAL PHOTOGRAPHIC|||999~~~
93003|||BPOS (BUSINESS PROCESS OUTSOURCING), CALL CENTRES, IT ENABLED SERVICES|||9.0~~~
931|||SOFTWARE DEVELOPMENT SERVICES|||9.0~~~
932|||DATA PROCESSING, COMPUTER SERVICE BUREAU INCLUDING SHOULD BE CODED UNDER )|||9.0~~~
94|||FORESTRY AND LOGGING|||0.9~~~
940|||HOTELS AND RESTAURANTS -- INCLUSIVE OF ROOMING/GUEST HOUSES, LODGING PLACES, CAMPS AND OTHER DRINKING/EATING PLACES, HOUSEBOATS, ETC|||9.0~~~
94001|||STAFF HOUSING LOANS (EXCLUDING, LOANS TO STAFF UNDER NHB SCHEME) INCLUDING THE LOANS TO CO-OPERATIVE|||999~~~
94002|||HOUSING LOANS UNDER NATIONAL HOUSING BANK SCHEME(INCLUDING, LOANS TO STAFF UNDER NHB SCHEME), OTHER|||999~~~
94003|||LOANS FOR PURCHASE OF MOTOR VEHICLE BY INDIVIDUALS FOR PERSONAL USE (MOTOR VEHICLE INCLUDING TWO-WHE|||999~~~
94004|||LOANS FOR PURCHASE OF CONSUMER DURABLE GOODS EXCLUDING THOSE GIVEN TO STAFF MEMBERS (LOAN AVAILED BY|||999~~~
94005|||EDUCATION - LOANS TO INDIVIDUALS FOR PURSUIT OF STUDIES (LOANS TO EDUCATIONAL INSTITUTIONS SHOULD BE|||999~~~
94006|||LOANS TO STAFF FOR PURPOSES OTHER THAN HOUSING INCLUDING THOSE AGAINST FDRS, SHARES ETC.)|||999~~~
94007|||PERSONAL LOANS OTHER THAN TO STAFF MEMBERS- LOANS AGAINST SHARES, DEBENTURES, GOVERNMENT SECURITIES,|||999~~~
94008|||LOANS ADVANCED THROUGH CREDIT CARDS)|||999~~~
94009|||OTHER PERSONAL LOANS (OTHER THAN TO STAFF MEMBERS) INCLUDE LOANS FOR DOMESTIC CONSUMPTION, MEDICAL E|||999~~~
950|||RECREATION SERVICES (MOTION PICTURE STUDIOS, THEATRES, CIRCUS COMPANIES, SPORTS CLUBS, GYMNASIA, ETC)-- INCLUDE(I) MOTION PICTURE PROJECTION AND DISTRIBUTION(II) ENTERTAINMENT SERVICES & OPERATION OF CIRCUSES AND RACE TRACKS(III) RADIO AND TELEVISION -- B|||9.0~~~
95009|||OTHER PERSONAL LOANS TO STAFF MEMBERS (INCLUDE LOANS FOR DOMESTIC CONSUMPTION, MEDICAL EXPENSES, TRA|||9.0~~~
95015|||FOR INVESTMENT IN SHARES (INCLUDING IPOS/ESOPS), CONVERTIBLE BONDS, CONVERTIBLE DEBENTURES, AND UNIT|||9.0~~~
961|||ARTISANS AND CRAFTSMEN (ADVANCES AVAILED OF FOR PURSUING SELF-EMPLOYED ACTIVITIES BY CARPENTERS, MASONS, BRICK-MAKERS, POTTERS, TAILORS, JEWELLERS, HAIR-DRESSERS, BLACK-SMITHS, COBBLERS, WASHERMEN, PLUMBERS, ELECTRICIANS, WEAVERS, ETC)|||9.0~~~
962|||AGRICULTURAL CUSTOM SERVICE UNITS (EG, SERVICES OF TRACTORS, SPRAYING OPERATIONS & OPERATION OF OTHER AGRICULTURAL EQUIPMENT'S TO FARMERS ON CONTRACT BASIS AND AGRO-BASED SERVICE CENTERS LIKE GRADING OF AGRICULTURAL PRODUCTS OR LIVESTOCK'S, SCIENTIFIC SER|||9.0~~~
963|||AGENTS -- ESTATE AGENTS, CONSULTANTS, COMMISSION AGENTS AND OTHER AGENCIES|||9.0~~~
970|||REPAIRS AND SERVICING WORKS WORKSHOPS AND OTHER TYPES OF REPAIR WORKS SUCH AS REPAIRS OF ELECTRICAL AND DIESEL MACHINERY, EQUIPMENT'S AND APPARATUS, MOTOR VEHICLES, WATCHES, CLOCKS, BICYCLES, CYCLE-RICKSHAWS, MOTOR VEHICLES, WATCHES, CLOCKS, BICYCLES, CYC|||9.0~~~
980|||OTHER SERVICES INCLUDING(I) PUBLIC ADMINISTRATION AND DEFENSE SERVICES(II) SANITARY SERVICES -- GARBAGE AND SEWAGE DISPOSAL, OPERATION OF DRAINAGE SYSTEMS(III) EDUCATIONAL SERVICES RENDERED BY SCHOOLS/COLLEGES/COMMERCIAL INSTITUTIONS/UNIVERSITIES(IV) MEDI|||9.0~~~
99|||OTHERS (INCLUDE SHEEP & PIG REARING, REARING OF HORSES, MULES, DUCKS, BEES, PRODUCTION OF HONEY AND WAX, SILK WORMS AND PRODUCTION OF COCOONS OF RAW SILK, MUSHROOM FARMING AND HUNTING, TRAPPING AND GAME PROPOGATION OTHER THAN FOR SPORTS)|||0.9~~~
990|||PERSONAL LOANS --+ LOANS AGAINST SHARES, DEBENTURES, GOVERNMENT SECURITIES, FIXED DEPOSIT RECEIPTS, REAL ESTATES, ETC (SUCH LOANS TO OTHER THAN INDIVIDUALS SHOULD BE CODED AS PER BORROWER'S ACTIVITY/OCCUPATION)|||9.0~~~
991|||HOUSING LOANS UNDER NATIONAL HOUSING BANK SCHEME INCLUSIVE OF LOANS TO STAFF UNDER NATIONAL HOUSING BANK SCHEME|||9.0~~~
992|||AGRO-INDUSTRIES CORPORATIONS|||9.0~~~
993|||LOANS FOR PURCHASE OF CONSUMER DURABLE GOODS EXCLUDING THOSE GIVEN TO STAFF MEMBERS (LOAN AVAILED OF BY A DOCTOR FOR PURCHASE GIVEN TO STAFF MEMBERS (LOAN AVAILED OF BY A DOCTOR FOR PURCHASE WHEREAS A REFRIGERATOR TO BE USED IN HIS CLINIC FOR PROFESSIONAL|||9.0~~~
994|||STAFF HOUSING LOANS (EXCLUDING, LOANS TO STAFF UNDER NHB SCHEME)|||9.0~~~
995|||OTHER HOUSING LOANS|||9.0~~~
996|||EDUCATION -- LOANS TO INDIVIDUALS FOR PURSUIT OF STUDIES (LOANS TO EDUCATIONAL INSTITUTIONS SHOULD BE INCLUDED UNDER AND NOT HERE)|||9.0~~~
997|||OTHER PERSONAL LOANS (OTHER THAN TO STAFF MEMBERS) - INCLUDE LOANS FOR DOMESTIC CONSUMPTION, MEDICAL EXPENSES, INCLUDE LOANS FOR DOMESTIC CONSUMPTION, MEDICAL EXPENSES, LOANS FOR REPAYMENT OF DEBT, ETC (LOANS AGAINST FDRS/FINANCIAL SECURITIES IN THE CASE|||9.0~~~
998|||LOANS TO STAFF FOR PURPOSES OTHER THAN HOUSING INCLUDING THOSE AGAINST FDRS, SHARES ETC|||9.0~~~
999|||ALL OTHER LOANS NOT CLASSIFIED ELSEWHERE OR ACTIVITIES NOT ADEQUATELY DESCRIBED THIS CODE SHOULD BE USED SPARINGLY)|||9.0~~~
99999|||MISCELLANEOUS|||9.0~~~
999999|||ALL OTHER LOANS NOT CLASSIFIED ELSEWHERE OR ACTIVITIES NOT ADEQUATELY DESCRIBED (THIS CODE SHOULD BE|||999~~~
Total Row Count =523
